nv,mu,phi,r0_small,r0_large
19,0.0949963704011567,0.816055799738061,0.9992492492492493,1.3996496496496498
19,0.0949963704011567,0.8160557997380585,1.0017517517517518,1.3996496496496498
19,0.0949963704011567,0.8160557997380631,0.9992492492492493,1.3996496496496498
31,0.09685551505548305,0.817486292070744,0.9992492492492493,1.3996496496496498
31,0.09685551505548305,0.8174862920707491,0.9992492492492493,1.3996496496496498
31,0.09685551505548305,0.8174862920707454,1.0005005005005005,1.3996496496496498
31,0.09685551505548305,0.817486292070727,0.9992492492492493,1.3996496496496498
31,0.09685551505548305,0.8174862920707409,0.9992492492492493,1.3996496496496498
31,0.09685551505548305,0.8174862920707301,1.0017517517517518,1.3996496496496498
31,0.09685551505548305,0.8174862920707305,1.0017517517517518,1.3996496496496498
31,0.09685551505548305,0.8174862920707402,1.0017517517517518,1.3996496496496498
31,0.09685551505548305,0.8174862920707223,1.0005005005005005,1.3996496496496498
31,0.09685551505548305,0.8174862920707354,1.0017517517517518,1.3996496496496498
5,0.08494776691458673,0.7990484069591458,0.9942442442442443,1.3996496496496498
5,0.08494776691458673,0.7990484069591435,0.9954954954954955,1.3996496496496498
5,0.08494776691458673,0.7990484069591476,0.9967467467467468,1.3996496496496498
5,0.08494776691458673,0.799048406959147,0.9942442442442443,1.3996496496496498
5,0.08494776691458673,0.7990484069591408,0.9954954954954955,1.3996496496496498
5,0.08494776691458673,0.7990484069591465,0.9942442442442443,1.3996496496496498
5,0.08494776691458673,0.7990484069591478,0.992992992992993,1.3996496496496498
5,0.08494776691458673,0.7990484069591489,0.9942442442442443,1.3996496496496498
5,0.08494776691458673,0.7990484069591481,0.9942442442442443,1.3996496496496498
5,0.08494776691458673,0.7990484069591395,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8015581115712448,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8015581115712278,0.9992492492492493,1.400900900900901
7,0.08810175736056135,0.8015581115712463,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8015581115712483,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.801558111571251,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8015581115712324,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8015581115712307,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8015581115712294,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8015581115712366,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8015581115712335,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8046904859438337,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8046904859438309,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8046904859438275,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8046904859438263,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8046904859438324,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8046904859438307,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8046904859438287,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.804690485943829,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8046904859438249,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.804690485943831,0.9992492492492493,1.3996496496496498
13,0.09291928548568841,0.805577163575911,0.9992492492492493,1.3996496496496498
13,0.09291928548568841,0.8055771635758685,0.9992492492492493,1.3996496496496498
13,0.09291928548568841,0.8055771635759169,1.0005005005005005,1.3996496496496498
13,0.09291928548568841,0.8055771635759136,0.9992492492492493,1.3996496496496498
13,0.09291928548568841,0.8055771635759023,0.9992492492492493,1.3996496496496498
13,0.09291928548568841,0.8055771635759019,0.9992492492492493,1.3996496496496498
13,0.09291928548568841,0.8055771635759135,1.0005005005005005,1.3996496496496498
13,0.09291928548568841,0.8055771635759156,1.0005005005005005,1.3996496496496498
13,0.09291928548568841,0.8055771635758693,0.9992492492492493,1.3996496496496498
13,0.09291928548568841,0.8055771635759109,0.9992492492492493,1.3996496496496498
19,0.0949963704011567,0.8070557997382856,1.0005005005005005,1.3996496496496498
19,0.0949963704011567,0.8070557997382954,0.9992492492492493,1.3996496496496498
19,0.0949963704011567,0.8070557997382954,0.9992492492492493,1.3996496496496498
19,0.0949963704011567,0.8070557997382943,0.9992492492492493,1.3996496496496498
19,0.0949963704011567,0.8070557997382933,0.9992492492492493,1.3996496496496498
19,0.0949963704011567,0.8070557997382917,0.9992492492492493,1.3996496496496498
19,0.0949963704011567,0.8070557997382909,0.9992492492492493,1.3996496496496498
19,0.0949963704011567,0.8070557997382958,0.9992492492492493,1.3996496496496498
19,0.0949963704011567,0.8070557997382933,0.9992492492492493,1.3996496496496498
19,0.0949963704011567,0.8070557997382978,1.0005005005005005,1.3996496496496498
31,0.09685551505548305,0.8084862920709921,0.9992492492492493,1.3996496496496498
31,0.09685551505548305,0.8084862920709971,0.9992492492492493,1.3996496496496498
31,0.09685551505548305,0.8084862920709933,1.0017517517517518,1.400900900900901
31,0.09685551505548305,0.8084862920709749,1.0017517517517518,1.3996496496496498
31,0.09685551505548305,0.8084862920709888,0.9992492492492493,1.3996496496496498
31,0.09685551505548305,0.8084862920709783,1.0005005005005005,1.3996496496496498
31,0.09685551505548305,0.8084862920709786,1.0005005005005005,1.3996496496496498
31,0.09685551505548305,0.8084862920709883,0.9992492492492493,1.3996496496496498
31,0.09685551505548305,0.8084862920709707,0.9992492492492493,1.3996496496496498
31,0.09685551505548305,0.8084862920709835,1.0005005005005005,1.3996496496496498
5,0.08494776691458673,0.6110484069641875,1.0017517517517518,1.4046546546546548
5,0.08494776691458673,0.6110484069641853,0.9992492492492493,1.4034034034034035
5,0.08494776691458673,0.611048406964189,1.0017517517517518,1.3996496496496498
5,0.08494776691458673,0.6110484069641884,0.9992492492492493,1.3996496496496498
